date,wordcount,chapter,work
2018-12-29,6650,Interlude – 11.a,Ward
2019-01-01,5750,Blinding – 11.4,Ward
2019-01-05,5841,Blinding – 11.5,Ward
2019-01-08,8113,Blinding – 11.6,Ward
2019-01-12,7239,Blinding – 11.7,Ward
2019-01-15,8657,Blinding – 11.8,Ward
2019-01-19,7243,Interlude – 11.b,Ward
2019-01-22,9754,Interlude – 11.c,Ward
2019-01-26,5743,Blinding – 11.9,Ward
2019-01-29,6337,Blinding – 11.10,Ward
2019-02-02,10818,Blinding – 11.11,Ward
2019-02-05,7514,Blinding – 11.12,Ward
2019-02-09,11136,Interlude – 12.z,Ward
2019-02-12,6886,Heavens – 12.1,Ward
2019-02-16,7401,Heavens – 12.2,Ward
2019-02-19,11703,Interlude 12.e,Ward
2019-02-23,7615,Heavens – 12.3,Ward
2019-02-26,7455,Heavens – 12.4,Ward
2019-03-02,6837,Heavens – 12.all,Ward
2019-03-05,8014,Heavens – 12.5,Ward
2019-03-09,6079,Heavens – 12.6,Ward
2019-03-12,9114,Heavens – 12.f,Ward
2019-03-16,9392,Heavens – 12.7,Ward
2019-03-19,7335,Heavens – 12.8,Ward
2019-03-23,8739,Heavens – 12.9,Ward
2019-03-26,11077,Heavens – 12.none,Ward
2019-03-29,9720,Heavens – 12.x,Ward
2019-04-02,7558,Black – 13.1,Ward
2019-04-05,8303,Black – 13.2,Ward
2019-04-09,6708,Black – 13.3,Ward
2019-04-13,5684,Black – 13.4,Ward
2019-04-16,7481,Black – 13.5,Ward
2019-04-20,7969,Black – 13.6,Ward
2019-04-23,6801,Black – 13.7,Ward
2019-04-27,8581,Black – 13.8,Ward
2019-04-30,7631,Black – 13.x,Ward
2019-05-04,7653,Black – 13.9,Ward
2019-05-07,9025,Black – 13.10,Ward
2019-05-11,9511,Black – 13.11,Ward
2019-05-14,12811,Black – 13.z,Ward
2019-05-18,7381,Breaking – 14.1,Ward
2019-05-21,7816,Breaking – 14.2,Ward
2019-05-25,6232,Breaking – 14.3,Ward
