date,wordcount,chapter,work
2012-08-28,4326,Snare 13.10,Worm
2012-09-01,5490,Interlude 13,Worm
2012-09-04,5049,Prey 14.1,Worm
2012-09-08,5256,Prey 14.2,Worm
2012-09-11,5947,Prey 14.3,Worm
2012-09-15,5588,Prey 14.4,Worm
2012-09-18,4830,Prey 14.5,Worm
2012-09-22,4837,Prey 14.6,Worm
2012-09-25,6009,Prey 14.7,Worm
2012-09-29,7486,Prey 14.8,Worm
2012-10-02,5745,Prey 14.9,Worm
2012-10-06,7164,Prey 14.10,Worm
2012-10-09,5937,Prey 14.11,Worm
2012-10-11,6486,Interlude 14,Worm
2012-10-13,6222,Interlude 14.5 (Bonus Interlude),Worm
2012-10-16,6676,Colony 15.1,Worm
2012-10-18,7968,Interlude 15 (Donation Bonus),Worm
2012-10-20,5793,Colony 15.2,Worm
2012-10-23,5180,Colony 15.3,Worm
2012-10-25,6277,Interlude 15 (Donation Bonus #2),Worm
2012-10-27,5049,Colony 15.4,Worm
2012-10-30,5170,Colony 15.5,Worm
2012-11-03,4946,Colony 15.6,Worm
2012-11-06,4867,Colony 15.7,Worm
2012-11-08,7594,Interlude 15 (Donation Bonus #3),Worm
2012-11-10,4978,Colony 15.8,Worm
2012-11-13,5101,Colony 15.9,Worm
2012-11-17,6228,Colony 15.10,Worm
2012-11-20,5985,Interlude 15,Worm
2012-11-24,5038,Monarch 16.1,Worm
2012-11-27,5883,Monarch 16.2,Worm
2012-11-29,5180,Interlude 16 (Donation Bonus),Worm
2012-12-01,5184,Monarch 16.3,Worm
2012-12-04,5583,Monarch 16.4,Worm
2012-12-08,6986,Monarch 16.5,Worm
2012-12-11,5544,Monarch 16.6,Worm
2012-12-13,6762,Interlude 16 (Donation Bonus #2),Worm
2012-12-15,5673,Monarch 16.7,Worm
2012-12-18,4465,Monarch 16.8,Worm
2012-12-22,5110,Monarch 16.9,Worm
2012-12-25,6619,Monarch 16.10,Worm
2012-12-27,6434,Interlude 16 (Donation Bonus #3),Worm
2012-12-29,6494,Monarch 16.11,Worm
2013-01-01,6027,Monarch 16.12,Worm
2013-01-05,8790,Monarch 16.13,Worm
2013-01-08,6463,Migration 17.1,Worm
2013-01-09,6219,Migration 17.2,Worm
2013-01-10,5989,Migration 17.3,Worm
2013-01-11,6041,Migration 17.4,Worm
2013-01-12,4938,Migration 17.5,Worm
2013-01-13,9180,Migration 17.6,Worm
2013-01-14,7603,Migration 17.7,Worm
2013-01-15,8239,Migration 17.8,Worm
2013-01-19,5329,Queen 18.1,Worm
2013-01-22,5004,Queen 18.2,Worm
2013-01-24,5328,Interlude 18 (Donation Bonus #1),Worm
2013-01-26,5706,Queen 18.3,Worm
2013-01-29,5878,Queen 18.4,Worm
2013-01-31,6646,Interlude 18 (Donation Bonus #2),Worm
2013-02-02,4789,Queen 18.5,Worm
2013-02-05,5269,Queen 18.6,Worm
2013-02-07,8741,Interlude 18 (Donation Bonus #3),Worm
2013-02-09,5698,Queen 18.7,Worm
2013-02-12,6220,Queen 18.8,Worm
2013-02-14,7940,Interlude 18 (Donation Bonus #4),Worm
2013-02-16,8021,Interlude 18,Worm
2013-02-19,7326,Scourge 19.1,Worm
2013-02-23,5702,Scourge 19.2,Worm
2013-02-26,5265,Scourge 19.3,Worm
2013-02-28,8221,Interlude 19 (Donation Bonus #1),Worm
2013-03-02,5776,Scourge 19.4,Worm
2013-03-05,6996,Scourge 19.5,Worm
2013-03-09,6296,Scourge 19.6,Worm
2013-03-12,8660,Scourge 19.7,Worm
2013-03-16,5714,Interlude 19 (Donation Bonus #2),Worm
2013-03-19,8984,Interlude 19,Worm
2013-03-21,6767,Chrysalis 20.1,Worm
2013-03-23,6405,Chrysalis 20.2,Worm
2013-03-26,5851,Chrysalis 20.3,Worm
2013-03-30,5248,Chrysalis 20.4,Worm
2013-04-02,6814,Chrysalis 20.5,Worm
2013-04-04,6466,Interlude 20 (Donation Bonus #1),Worm
2013-04-06,7528,Interlude 20,Worm
2013-04-09,6082,Imago 21.1,Worm
2013-04-13,5410,Imago 21.2,Worm
2013-04-16,6167,Imago 21.3,Worm
2013-04-18,6313,Imago 21.4,Worm
2013-04-20,6354,Imago 21.5,Worm
2013-04-23,8284,Imago 21.6,Worm
2013-04-25,4644,Imago 21.7,Worm
