date,wordcount,chapter,work
2015-01-24,5210,Histories (Arc 15),Pact
2015-01-27,5130,Judgment 16.1,Pact
2015-01-29,5604,Judgment 16.2,Pact
2015-01-31,5558,Judgment 16.3,Pact
2015-02-03,4336,Judgment 16.4,Pact
2015-02-07,4889,Judgment 16.5,Pact
2015-02-10,4921,Judgment 16.6,Pact
2015-02-14,5654,Judgment 16.7,Pact
2015-02-17,5432,Judgment 16.8,Pact
2015-02-19,6425,Judgment 16.9,Pact
2015-02-21,5051,Judgment 16.10,Pact
2015-02-24,5755,Judgment 16.11,Pact
2015-02-28,4322,Judgment 16.12,Pact
2015-03-03,5515,Judgment 16.13,Pact
2015-03-07,4000,Epilogue,Pact
2015-03-10,149,Rule of Three,Pact
