date,wordcount,chapter,work
2015-05-08,5684,Bonus #5: Of Which Reason Knows Nothing,The Gods Are Bastards
2015-05-11,6520,Bonus #6: A Light in Dark Places,The Gods Are Bastards
2015-05-13,6018,Bonus #7: Songbird,The Gods Are Bastards
2015-05-15,5654,"Bonus #8: On Being a Man, Part 1",The Gods Are Bastards
2015-05-18,4290,"Bonus #9: On Being a Man, Part 2",The Gods Are Bastards
2015-05-20,4575,6 – 1,The Gods Are Bastards
2015-05-22,4064,6 – 2,The Gods Are Bastards
2015-05-25,5431,6 – 3,The Gods Are Bastards
2015-05-27,4607,6 – 4,The Gods Are Bastards
2015-05-29,3934,6 – 5,The Gods Are Bastards
2015-06-01,3531,6 – 6,The Gods Are Bastards
2015-06-03,4062,6 – 7,The Gods Are Bastards
2015-06-05,5180,6 – 8,The Gods Are Bastards
2015-06-08,4387,6 – 9,The Gods Are Bastards
2015-06-10,5385,6 – 10,The Gods Are Bastards
2015-06-12,5099,6 – 11,The Gods Are Bastards
2015-06-15,6130,6 – 12,The Gods Are Bastards
2015-06-17,4432,6 – 13,The Gods Are Bastards
2015-06-19,4286,6 – 14,The Gods Are Bastards
2015-06-22,3397,6 – 15,The Gods Are Bastards
2015-06-24,5429,6 – 16,The Gods Are Bastards
2015-06-26,4921,6 – 17,The Gods Are Bastards
2015-06-29,4279,6 – 18,The Gods Are Bastards
2015-07-01,2932,6 – 19,The Gods Are Bastards
2015-07-03,5073,6 – 20,The Gods Are Bastards
2015-07-06,4106,6 – 21,The Gods Are Bastards
2015-07-08,5444,6 – 22,The Gods Are Bastards
2015-07-10,6863,6 – 23,The Gods Are Bastards
2015-07-13,4373,6 – 24,The Gods Are Bastards
2015-07-15,5845,6 – 25,The Gods Are Bastards
2015-07-17,4506,6 – 26,The Gods Are Bastards
2015-07-20,4781,6 – 27,The Gods Are Bastards
2015-07-22,4949,6 – 28,The Gods Are Bastards
2015-07-24,4329,6 – 29,The Gods Are Bastards
2015-07-27,4700,6 – 30,The Gods Are Bastards
2015-07-29,4859,6 – 31,The Gods Are Bastards
2015-07-30,4262,6 – 32,The Gods Are Bastards
2015-07-31,4620,6 – 33,The Gods Are Bastards
2015-08-02,3898,6 – 34,The Gods Are Bastards
2015-08-03,4122,7 – 1,The Gods Are Bastards
2015-08-06,3437,7 – 2,The Gods Are Bastards
2015-08-07,4581,7 – 3,The Gods Are Bastards
2015-08-08,3974,7 – 4,The Gods Are Bastards
2015-08-10,3584,7 – 5,The Gods Are Bastards
2015-08-12,4027,7 – 6,The Gods Are Bastards
