date,wordcount,chapter,work
2017-08-29,9160,3.08 H,The Wandering Inn
2017-08-31,13208,S03 – Wistram Days (Pt. 2),The Wandering Inn
2017-09-02,10737,3.09,The Wandering Inn
2017-09-05,10819,3.10,The Wandering Inn
2017-09-09,11642,3.11 E,The Wandering Inn
2017-09-12,9768,3.12 E,The Wandering Inn
2017-09-16,13206,3.13,The Wandering Inn
2017-09-19,11066,3.14,The Wandering Inn
2017-09-23,10964,3.15,The Wandering Inn
2017-09-26,13137,3.16,The Wandering Inn
2017-09-27,11377,3.17 T,The Wandering Inn
2017-09-28,11037,3.18 T,The Wandering Inn
2017-09-30,9372,3.19 T,The Wandering Inn
2017-10-03,10792,3.20 T,The Wandering Inn
2017-10-07,9770,3.21 L,The Wandering Inn
2017-10-10,10709,3.22 L,The Wandering Inn
2017-10-14,13912,3.23 L,The Wandering Inn
2017-10-17,10294,3.24,The Wandering Inn
2017-10-21,10915,3.25,The Wandering Inn
2017-10-24,9875,3.26 G,The Wandering Inn
2017-10-26,11708,3.27 M,The Wandering Inn
2017-10-28,12524,3.28 G,The Wandering Inn
2017-10-31,11213,3.29 G,The Wandering Inn
2017-11-04,11720,3.30,The Wandering Inn
2017-11-07,10191,3.31 G,The Wandering Inn
2017-11-11,10597,Wistram Days (Pt. 3),The Wandering Inn
2017-11-12,12347,Wistram Days (Pt. 4),The Wandering Inn
2017-11-14,12448,Wistram Days (Pt. 5),The Wandering Inn
2017-11-18,11541,Wistram Days (Pt. 6),The Wandering Inn
2017-11-21,11831,Wistram Days (Pt. 7),The Wandering Inn
2017-11-25,11206,3.32,The Wandering Inn
2017-11-28,10481,3.33,The Wandering Inn
2017-12-02,13395,3.34,The Wandering Inn
2017-12-05,10604,3.35,The Wandering Inn
2017-12-09,12244,3.36,The Wandering Inn
2017-12-12,11413,3.37,The Wandering Inn
2017-12-16,12552,3.38,The Wandering Inn
2017-12-19,10578,3.39,The Wandering Inn
2017-12-23,12601,3.40,The Wandering Inn
2017-12-25,13831,3.41,The Wandering Inn
2017-12-26,10114,3.42,The Wandering Inn
2017-12-30,13380,Interlude,The Wandering Inn
2018-01-06,12572,4.00 K,The Wandering Inn
2018-01-09,14118,4.01 K,The Wandering Inn
2018-01-13,12849,4.02 K,The Wandering Inn
2018-01-16,14510,4.03 K,The Wandering Inn
2018-01-20,11748,4.04 K,The Wandering Inn
2018-01-23,14732,4.05 K,The Wandering Inn
2018-01-27,12953,4.06 KM,The Wandering Inn
2018-01-30,10549,4.07,The Wandering Inn
2018-02-01,14772,4.08 T,The Wandering Inn
2018-02-03,8376,4.09,The Wandering Inn
2018-02-06,11185,4.10,The Wandering Inn
2018-02-10,11404,4.11,The Wandering Inn
2018-02-13,11813,4.12,The Wandering Inn
2018-02-17,12885,4.13 L,The Wandering Inn
2018-02-20,10798,4.14 L,The Wandering Inn
2018-02-20,13288,4.15 L,The Wandering Inn
2018-02-24,10948,4.16,The Wandering Inn
2018-02-27,10753,4.17,The Wandering Inn
2018-03-01,12095,1.02 D,The Wandering Inn
2018-03-03,12642,1.03 D,The Wandering Inn
2018-03-06,10303,1.04 D,The Wandering Inn
2018-03-06,12874,1.05 D,The Wandering Inn
2018-03-10,13976,1.06 D,The Wandering Inn
2018-03-13,11564,4.18,The Wandering Inn
2018-03-17,12862,4.19,The Wandering Inn
2018-03-20,13462,4.20 E,The Wandering Inn
2018-03-24,11736,4.21 E,The Wandering Inn
2018-03-27,9910,4.22 E,The Wandering Inn
2018-03-27,10003,4.23 E,The Wandering Inn
2018-03-31,13768,4.24,The Wandering Inn
2018-04-03,12865,4.25 N,The Wandering Inn
2018-04-07,11313,4.26 M,The Wandering Inn
2018-04-10,12727,4.27 H,The Wandering Inn
2018-04-14,13767,4.28,The Wandering Inn
2018-04-17,12818,4.29,The Wandering Inn
2018-04-21,12578,4.30,The Wandering Inn
2018-04-24,12269,4.31,The Wandering Inn
2018-04-28,10453,4.32 G,The Wandering Inn
2018-05-01,11234,1.02 C,The Wandering Inn
2018-05-01,13723,1.03 C,The Wandering Inn
2018-05-05,6396,1.04 C,The Wandering Inn
2018-05-05,10471,1.05 C,The Wandering Inn
2018-05-08,11341,4.33,The Wandering Inn
2018-05-12,13006,4.34,The Wandering Inn
2018-05-15,11728,4.35 E,The Wandering Inn
2018-05-17,10441,4.36 O,The Wandering Inn
2018-05-19,12626,4.37 O,The Wandering Inn
2018-05-22,12872,4.38 B,The Wandering Inn
2018-05-26,12476,4.39 G,The Wandering Inn
2018-05-29,11601,4.40 L,The Wandering Inn
2018-06-02,8088,4.41 L,The Wandering Inn
2018-06-02,7708,4.42 L,The Wandering Inn
2018-06-05,12480,4.43,The Wandering Inn
2018-06-09,11812,4.44 M,The Wandering Inn
2018-06-12,13318,4.45,The Wandering Inn
2018-06-16,13074,4.46,The Wandering Inn
2018-06-19,11899,4.47,The Wandering Inn
2018-06-23,13043,S02 – The Antinium Wars (Pt.3),The Wandering Inn
2018-06-26,8520,S02 – The Antinium Wars (Pt.4),The Wandering Inn
2018-06-26,8663,S02 – The Antinium Wars (Pt.5),The Wandering Inn
2018-06-29,13460,4.48,The Wandering Inn
2018-07-07,13780,4.49,The Wandering Inn
2018-07-09,5078,The Depthless Doctor,The Wandering Inn
