date,wordcount,chapter,work,author
2019-07-17,9073,Bottle Episode,Worth the Candle,Alexander Wales
2019-07-18,7820,Grayscale,Worth the Candle,Alexander Wales
2019-07-18,6385,Time Enough,Worth the Candle,Alexander Wales
2019-07-19,5110,A Portrait of the King as a Young Man,Worth the Candle,Alexander Wales
2019-07-19,7254,Rapping at my Chamber Door,Worth the Candle,Alexander Wales
2019-07-20,4128,Letter 15,Worth the Candle,Alexander Wales
2019-07-20,5580,Enough Rope to Hang Yourself,Worth the Candle,Alexander Wales
2019-07-21,5312,Immanentizing the Eschaton,Worth the Candle,Alexander Wales
2019-07-21,10005,PPROM,Worth the Candle,Alexander Wales
2019-07-22,10973,The Adventures of Valencia the Red,Worth the Candle,Alexander Wales
2019-07-22,8969,Contract,Worth the Candle,Alexander Wales
2019-07-23,3462,Consolation,Worth the Candle,Alexander Wales
2019-07-23,6647,Notes,Worth the Candle,Alexander Wales
2019-07-24,11016,The One-Hand Warder,Worth the Candle,Alexander Wales
2019-07-25,6632,Name of the Beast,Worth the Candle,Alexander Wales
2019-07-25,6776,The Dream That Skewers,Worth the Candle,Alexander Wales
2019-07-26,10834,The Veil of the World,Worth the Candle,Alexander Wales
2019-07-26,6761,Bubblegum,Worth the Candle,Alexander Wales
2019-07-27,5661,Peer Pressure,Worth the Candle,Alexander Wales
2019-07-27,8123,Egress,Worth the Candle,Alexander Wales
2019-07-28,5627,A Hell of a Time,Worth the Candle,Alexander Wales
2019-07-28,8331,The Meeting of Minds,Worth the Candle,Alexander Wales
2019-07-29,3305,Communicative,Worth the Candle,Alexander Wales
2019-07-30,8560,Therapy,Worth the Candle,Alexander Wales
2019-07-30,5663,Beast of Burden,Worth the Candle,Alexander Wales
2019-07-31,7482,Breaking Loose,Worth the Candle,Alexander Wales
2019-07-31,11050,Depths,Worth the Candle,Alexander Wales
2019-08-01,10316,Deceptions,Worth the Candle,Alexander Wales
2019-08-01,4657,Maddie,Worth the Candle,Alexander Wales
2019-08-02,5262,Raven,Worth the Candle,Alexander Wales
2019-08-02,8099,Medieval Stasis,Worth the Candle,Alexander Wales
2019-08-03,9657,Fight Club,Worth the Candle,Alexander Wales
2019-08-03,8801,The Remnants of the Past,Worth the Candle,Alexander Wales
2019-08-04,5015,Ever Onward,Worth the Candle,Alexander Wales
2019-08-04,7042,Full House,Worth the Candle,Alexander Wales
2019-08-05,9635,An Open Book,Worth the Candle,Alexander Wales
2019-08-06,6852,Schemata,Worth the Candle,Alexander Wales
2019-08-06,5961,The Abject Despair of an Uncaring World,Worth the Candle,Alexander Wales
2019-08-07,8056,A Cypress Waits,Worth the Candle,Alexander Wales
2019-08-07,4801,Uskine Nervedah,Worth the Candle,Alexander Wales
2019-08-08,4635,The Critical Path,Worth the Candle,Alexander Wales
2019-08-08,3725,Safe Mode,Worth the Candle,Alexander Wales
2019-08-09,5858,Holding,Worth the Candle,Alexander Wales
2019-08-09,4418,Krinrael,Worth the Candle,Alexander Wales
2019-08-10,8381,Darili Irid,Worth the Candle,Alexander Wales
2019-08-10,3440,Stats for Nerds II,Worth the Candle,Alexander Wales
2019-08-11,8116,Piece of Mind,Worth the Candle,Alexander Wales
2019-08-12,10326,Commingling,Worth the Candle,Alexander Wales
2019-08-12,5172,Monty Haul,Worth the Candle,Alexander Wales
2019-08-13,6028,Sound and Silence,Worth the Candle,Alexander Wales
2019-08-13,5370,Manifold Paths,Worth the Candle,Alexander Wales
2019-08-14,11426,Skewered,Worth the Candle,Alexander Wales
2019-08-14,15266,Freshman,Worth the Candle,Alexander Wales
2019-08-15,10884,Terrors of the Black Age,Worth the Candle,Alexander Wales
2019-08-15,15506,Good Vibrations,Worth the Candle,Alexander Wales
2019-08-16,5659,Sing For Your Supper,Worth the Candle,Alexander Wales
2019-08-16,7576,I Have to Hand it to You,Worth the Candle,Alexander Wales
2019-08-17,3691,Than One Innocent Suffer,Worth the Candle,Alexander Wales
2019-08-18,10012,The Mind's Eye,Worth the Candle,Alexander Wales
2019-08-18,6085,The Time to Talk,Worth the Candle,Alexander Wales
2019-08-19,6583,The Temple,Worth the Candle,Alexander Wales
2019-08-19,5639,Above From Below,Worth the Candle,Alexander Wales
2019-08-20,6685,Mome Rath,Worth the Candle,Alexander Wales
2019-08-20,6550,Mome Rath II,Worth the Candle,Alexander Wales
2019-08-21,6684,The Bird on the Fence,Worth the Candle,Alexander Wales
2019-08-21,6718,OP,Worth the Candle,Alexander Wales
2019-08-22,8077,The Dome Away From Home,Worth the Candle,Alexander Wales
2019-08-23,12115,On the Merits of Oblivion,Worth the Candle,Alexander Wales
2019-08-23,14138,Reimer,Worth the Candle,Alexander Wales
2019-08-24,8198,Deus Ex,Worth the Candle,Alexander Wales
2019-08-24,7415,Level Heads,Worth the Candle,Alexander Wales
2019-08-25,4172,House of God,Worth the Candle,Alexander Wales
2019-08-25,8180,"Politics, blah, blah, blah",Worth the Candle,Alexander Wales
2019-08-25,6858,Brownian Motion,Worth the Candle,Alexander Wales
2019-08-26,5813,Beached,Worth the Candle,Alexander Wales
2019-08-26,5273,Hollow,Worth the Candle,Alexander Wales
2019-08-27,9943,The No Sleep Club,Worth the Candle,Alexander Wales
2019-08-27,7985,On Treating With Dragons,Worth the Candle,Alexander Wales
2019-08-28,9637,Blood is Thicker Than Water,Worth the Candle,Alexander Wales
2019-10-27,7208,Respec,Worth the Candle,Alexander Wales
2019-10-27,4533,Passions,Worth the Candle,Alexander Wales
2019-10-27,5103,The Blade of the Self,Worth the Candle,Alexander Wales
2019-10-27,5468,High Concept,Worth the Candle,Alexander Wales
2019-10-27,5695,Warrens,Worth the Candle,Alexander Wales
2019-12-30,6716,The Erstwhile Manor,Worth the Candle,Alexander Wales
2019-12-30,5750,The White Room,Worth the Candle,Alexander Wales
2019-12-30,7493,Hilbert's Paradox,Worth the Candle,Alexander Wales
2019-12-30,5806,Dumbest Entad,Worth the Candle,Alexander Wales
2019-12-30,4988,"To Sleep, Perchance to Dream",Worth the Candle,Alexander Wales
